"Facility Name","Facility ID","NPI","City/Town","State","ZIP Code","Year","ASC-1 Rate","ASC-1 Footnote","ASC-2 Rate","ASC-2 Footnote","ASC-3 Rate","ASC-3 Footnote","ASC-4 Rate","ASC-4 Footnote","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote","ASC-19 Total Cases","ASC-19 Performance Category","ASC-19 RSHV Rate","ASC-19 Interval Lower Limit","ASC-19 Interval Upper Limit","ASC-19 Footnote","ASC-20 Sample","ASC-20 Rate","ASC-20 Footnote"
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2023,0,,0.05,,0,,0.12,,74.17,,N/A,5,897,No Different Than the National Rate,11.2,8.2,15.5,,97.5,,0,,159,No Different Than the National Rate,1.9,1.2,3,,40,No Different Than the National Rate,5.3,3.5,8.3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2023_Q4,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,82,80.5,
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2023,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,53,No Different Than the National Rate,10.1,6.8,14.7,,N/A,5,N/A,5,347,No Different Than the National Rate,2,1.4,3,,N/A,N/A,N/A,N/A,N/A,7,44,No Different than expected,1,0.6,1.8,,,N/A,5
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2023_Q4,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,96,100,
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2023,N/A,5,N/A,5,N/A,5,0.43,,99.6,,N/A,5,1932,No Different Than the National Rate,9.6,7.2,12.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,27,No Different than expected,1,0.5,1.7,,,N/A,5
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2023_Q4,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,121,99.7,
YORK COUNTY ENDOSCOPY CENTER LLC,42C0001080,1003058744,ROCK HILL,SC,29732,2023,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
YORK COUNTY ENDOSCOPY CENTER LLC,42C0001080,1003058744,ROCK HILL,SC,29732,2023_Q4,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,27,88.9,
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,2023,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,87,No Different Than the National Rate,2.1,1.3,3.3,,N/A,N/A,N/A,N/A,N/A,5,74,No Different than expected,0.9,0.5,1.5,,,N/A,5
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,2023_Q4,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,85,88.2,
